thread_id,agent_path,created_utc,primary_category,secondary_tags,excerpt_kind,initial_assignment_excerpt,observed_session_git_sha,source_pointers,notes
01a079ca-e1bb-7cd3-95c3-b009f6251f26,/root/dm_amx_rcle_a02/cm_am_rcle_a02,2026-09-07T02:55:34Z,bug_repair,gradient;review,assistant_plan_summary,inspect gradient path; repair A02,4572ab1a7727c8d1098e5c52ac8a9bb7a8a3ff4c,rollout:13; RCLE empirical_runner.py,handoff unavailable
01a079cf-8ac8-7a00-aac3-cc5e627d7edc,/root/dm_amx_dish_seed101/cm_am_dish_seed101,2026-09-07T03:00:39Z,parameter_wiring,seed;master;review,assistant_plan_summary,B05 seed plumbing,c24ddec624b26e8d251384193a4f6660eef1e63e,rollout:13; DISH control_low_lr_b04/study.py,
01a079fc-2cce-7b43-b0ba-6ef080848e48,/root/dm_amx_cbsc_next/cm_cbsc_opportunity_b04,2026-09-07T03:49:25Z,new_or_extended_implementation,actor;Adam;runner;review,assistant_plan_summary,build B04 learner path,77c249ff51d9b39cecade317fd3b00610159672d,"rollout:13; CBSC omrc_b01/ppo.py,tapes.py",new learner
01a07a35-4139-7a50-b804-c8bd6e5c74e5,/root/dm_amx_vspc1_next/cm_reactive_queues_b01,2026-09-07T04:51:45Z,new_or_extended_implementation,terminal;queue;runner,assistant_plan_summary,implement reactive queues B01,daed52c9f5256da355cd75de54db4053853f7e74,rollout:13; VSPC1 k4_reactive_queues_b01; run_vspc1...py,new path
01a07ab8-1c13-7281-9ffa-5365532558d3,/root/dm_ucope_question_prep/cm_am_ucope_native_return_b01,2026-09-07T07:14:41Z,new_or_extended_implementation,RNG;gradient;collector;evaluator,assistant_plan_summary,implement native return collector/evaluator,373d187200a91942385e9380770dcf9f8098aada,rollout:13; UCOPE native_return_acquisition_b01,new learner/runner
01a07d38-165d-70a2-b4bf-de6eeba82032,/root/dm_amx_vsp03_next/cm_vsp03_b02,2026-09-07T18:53:42Z,new_or_extended_implementation,publication;review,assistant_plan_summary,prepare VSP03 B02 implementation,33ed0594070f26092ec90fd842efc1543abdc839,rollout:13; VSP03 path unresolved,
01a07db1-80bd-7520-b309-cc62a6bac48d,/root/cm_ucope_p11_b05_collect,2026-09-07T21:06:19Z,execution_collection,terminal;receipt,assistant_plan_summary,collect accepted UCOPE evidence,d6844bb25f6f1030aa7123467935861dcc719450,rollout:13; rollout JSONL,no code
01a07dc3-d972-7c71-aedb-02cc3c6d5288,/root/cm_frrie_p12_a04_collect,2026-09-07T21:26:22Z,execution_collection,terminal;receipt,assistant_plan_summary,collect FRRIE terminal evidence,39b9446614e8304992b1e916c40f6f8a7518b6a5,rollout:13; rollout JSONL,no code
01a07e34-311b-7682-b4d8-125677f33acd,/root/vsp02_cm_baseline_b01,2026-09-07T23:29:04Z,new_or_extended_implementation,baseline;review,assistant_plan_summary,implement VSP02 baseline,2e25a1276f8bd9d920b7a9229e7dfc2200e14d57,rollout:13; VSP02 path unresolved,
01a07e89-46e5-7882-8202-2f19645fbfce,/root/fsd_cm_baseline_a01,2026-09-08T01:02:00Z,new_or_extended_implementation,baseline;review,assistant_plan_summary,implement FSD baseline,c8d09a7750b5c238e8547758392310fdc8e6a82f,rollout:13; FSD path unresolved,
01a07e93-8a85-7fc2-a471-92380a62eb65,/root/ucope_cm_baseline_b01,2026-09-08T01:13:13Z,new_or_extended_implementation,baseline;review,assistant_plan_summary,implement UCOPE baseline,7ade976631b1e82d4032c2e00855715e7ae03f8f,rollout:13; UCOPE uav_motion_prefix_b01,
01a07f54-6106-72d2-9e0e-556bddfb9360,/root/dm_frrie_p13_intake/cm_frrie_p22_collection,2026-09-08T04:43:51Z,execution_collection,failure_trace;receipt,assistant_plan_summary,collect artifacts and trace failure,79a29fd70c3edcf8caac18d8658c75c53917f447,rollout:13; rollout JSONL,evidence only
01a081bf-7d4b-76e0-9322-0bd6198070d8,/root/dm_ucope_p47_resume/cm_am_ucope_b02_p47,2026-09-08T16:00:05Z,bug_repair,clipping;gradient;terminal;review,assistant_plan_summary,repair B02 clipping/credit path,6dd7570e9e8045fb3818c553953a92c9caa587cb,"rollout:13,47,68,75,161,211,255; UCOPE uav_motion_prefix_b01",reused through 7001/7002 and B03/B04
01a081bf-b176-7dd2-9ee8-6a232f6de382,/root/dm_fsd_p47_resume/cm_am_fsd_b03_p47,2026-09-08T16:00:18Z,bug_repair,resume;fake_only;review,assistant_plan_summary,repair FSD B03,6dd7570e9e8045fb3818c553953a92c9caa587cb,rollout:13; FSD path unresolved,
01a081c0-46d6-7cf2-a521-f405bff38bb8,/root/dm_frrie_p47_repair/cm_am_frrie_p47_repair,2026-09-08T16:00:57Z,bug_repair,adapter;diagnostic;review,assistant_plan_summary,resolve adapter fault hypothesis,6dd7570e9e8045fb3818c553953a92c9caa587cb,rollout:13; FRRIE path unresolved,
01a081c2-7890-7163-abd6-415c89e0d60b,/root/dm_cbsc_p47_repair/cm_am_cbsc_p47_repair,2026-09-08T16:03:20Z,bug_repair,prefix;diagnostic;review,assistant_plan_summary,repair CBSC prefix boundary,6dd7570e9e8045fb3818c553953a92c9caa587cb,rollout:13; CBSC path unresolved,
01a0822a-1f07-7601-83a8-a26126a6c30f,/root/dm_vspc1_p49_value_question/cm_am_vspc1_hold_value_b01,2026-09-08T17:56:33Z,new_or_extended_implementation,duration;comparison;review,assistant_plan_summary,implement hold-value comparison,3dc17b74b6050679dd84fd4a561fc7579cae36d2,rollout:13; VSPC1 native_hold_value_b01,
01a0828e-2172-7803-b10e-2aee46759a00,/root/dm_dish_p53_native_proposal_question/cm_am_dish_b07,2026-09-08T19:45:47Z,parameter_wiring,mode;identity;review,assistant_plan_summary,propagate DISH mode,f5d6edf873b45a34f231b6cc31e41e7f09ee07a4,rollout:13; DISH path unresolved,
01a082ac-28b2-7c82-8fd2-e0a7ef062390,/root/dm_vsp03_p54_reentry/cm_b03_single_g,2026-09-08T20:18:35Z,new_or_extended_implementation,single_path;review,assistant_plan_summary,implement VSP03 single-G path,a58a6f98b7adb2d129a01f0c3d74954f7e8f2596,rollout:13; VSP03 path unresolved,
01a0847a-24aa-7c23-a51a-378f4aeb8539,/root/dm_crto_p68_reentry/cm_crto_native_cost_b08,2026-09-09T04:43:12Z,bug_repair,loss;accounting;review,assistant_plan_summary,repair CRTO loss/accounting,7e7ad937b42dfee4f81a1b99ff74c993c6d9cff7,rollout:13; CRTO path unresolved,
01a0847a-43eb-7731-be5c-98c0297fa0e1,/root/cm_ucope_main_integration_p70,2026-09-09T04:43:20Z,integration,normalization;merge;review,assistant_plan_summary,reconcile UCOPE renewal with main,7e7ad937b42dfee4f81a1b99ff74c993c6d9cff7,rollout:13; experiments/candidates/ucope,
01a084ef-b7a9-7991-96ff-835148902291,/root/cm_mgtap_p72_repair,2026-09-09T06:51:37Z,bug_repair,readiness;review,assistant_plan_summary,repair MGTAP readiness gaps,6485fe0080abafe7521ed89f3425516407303d78,rollout:13; MGTAP path unresolved,
01a085cc-17b3-7bd1-a8fc-24830a30c5d7,/root/dm_acvc_p68_reentry/cm_am_acvc_native_b01,2026-09-09T10:52:20Z,new_or_extended_implementation,recurrence;gate_loss;RNG;review,assistant_plan_summary,implement ACVC native link-loss path,a601e6078a2182218f5e5460180656c47c78928e,rollout:13; ACVC native_link_loss_b01,new learner/runner
01a08702-d1ef-7ca0-afe3-45ba22d88518,/root/dm_folr_p68_reentry/cm_public_lifecycle_b01,2026-09-09T16:31:44Z,new_or_extended_implementation,terminal;state;RNG;review,assistant_plan_summary,implement FOLR lifecycle path,75df5334089d7d26e1d7f9dc460599c1b9466930,"rollout:13,67,72,97,106,121,165,173,193,205,257,267,275,288,363,566,575; vap_folr_core/public_lifecycle_b01; delivered 387a40f3",new adapter/runner/tests
01a0870c-2ef0-7393-bea5-e0ee2e424100,/root/dm_scdmp_p56_return_composition/cm_hold_residual_b01,2026-09-09T16:41:57Z,new_or_extended_implementation,duration;discount;residual;review,assistant_plan_summary,implement held-segment residual path,56e5b6b2f9d748713e73731496f412cca68165d3,rollout:13; SCDMP path unresolved,
01a08730-10fe-74e3-a163-29be9c8bd61d,/root/dm_rcle_p47_transport_recovery/cm_actor100_b03,2026-09-09T17:21:09Z,new_or_extended_implementation,seed;identity;weighted_loss;RNG;review,assistant_plan_summary,implement actor100 loss and seed wiring,664afecaf36c6f436dbe870fd6c80afb11a05d75,"rollout:13,1046,1059,1064,1078,1105,1114,1123,1131,1228,1257,1268,1291,1321; RCLE tbcfv_b03/study.py; delivered 4d96a832e",same CM reused through recovery/launch/collection
01a0873a-02fa-7362-a51d-90e70126c44d,/root/cm_foundations_activation,2026-09-09T17:32:01Z,governance_support,renderer;skill_activation;review,assistant_plan_summary,repair activation renderer/output modes,05f7473af6454e597e815e50bf69ac503d8e35b0,rollout:13; foundations audit,control-plane
