update,cycle,active_n,transitions_per_arm,tokens_per_arm,shared_success,specialist_success,shared_loss,specialist_loss,shared_gradient_norm,specialist_gradient_norm,sample_replay_logp_max_error,prefix_replay_max_error,masked_probability_mass_max,elapsed_seconds
1,1,3,512,1536,0.0,0.0,-0.012800469063222408,-0.012800469063222408,0.02039453014731407,0.02039453014731407,0.0,0.0,0.0,1.9172266000023228
2,1,4,1024,3584,0.0,0.0,-0.015286141075193882,-0.01520787924528122,0.019792992621660233,0.023766178637742996,0.0,0.0,0.0,4.2828333000070415
3,1,6,1536,6656,0.0,0.0,-0.0186349768191576,-0.018472842872142792,0.018460601568222046,0.02754189632833004,0.0,0.0,0.0,8.791129600002023
4,1,5,2048,9216,0.0,0.0,-0.016986697912216187,-0.01678585074841976,0.012700185179710388,0.02541082352399826,0.0,0.0,0.0,12.295375000001513
5,1,2,2560,10240,0.0,0.0,-0.010446073487401009,-0.010294587351381779,0.0056274086236953735,0.018750421702861786,0.0,0.0,0.0,13.729785600000469
6,2,6,3072,13312,0.0,0.0,-0.018740076571702957,-0.01856033317744732,0.005624827928841114,0.023075830191373825,0.0,0.0,0.0,17.67330100000254
7,2,2,3584,14336,0.0,0.0,-0.010445001535117626,-0.0103617487475276,0.002751327818259597,0.015314347110688686,0.0,0.0,0.0,19.625076700001955
8,2,3,4096,15872,0.0,0.0,-0.012954714708030224,-0.012867976911365986,0.0038181350100785494,0.01657511293888092,0.0,0.0,0.0,22.25119000000268
9,2,5,4608,18432,0.0,0.0,-0.01701466180384159,-0.016874779015779495,0.004970514681190252,0.021014327183365822,0.0,0.0,0.0,25.88921180000034
10,2,4,5120,20480,0.0,0.0,-0.015407138504087925,-0.01528614666312933,0.006246898323297501,0.01976446993649006,0.0,0.0,0.0,28.893777400000545
11,3,5,5632,23040,0.0,0.0,-0.016988618299365044,-0.01694396883249283,0.008536173962056637,0.016467662528157234,0.0,0.0,0.0,32.51578150000569
