episode,reset_seed,C_J,F_J,dwell_J,M_J,F-M_J,C-M_J,F-C_J,F-dwell_J
0,3833102000,0.16834233477893967,0.46210186382261936,0.3272245725680771,0.34630713762467646,0.1157947261979429,-0.1779648028457368,0.2937595290436797,0.1348772912545423
1,3833102001,0.23172299360028276,0.27205402042141796,0.267577022196567,0.38743950250415654,-0.11538548208273858,-0.15571650890387378,0.04033102682113521,0.004476998224850981
2,3833102002,0.3232329312435766,0.33068630671693827,0.32481892360068954,0.3117189297487618,0.018967376968176464,0.011514001494814796,0.0074533754733616675,0.005867383116248737
3,3833102003,0.23271728326231828,0.3785054388274763,0.33699381097027536,0.23046982868767057,0.1480356101398057,0.0022474545746477004,0.145788155565158,0.04151162785720092
4,3833102004,0.34693826864147326,0.3751381623898929,0.32408569562110645,0.31955401371266395,0.05558414867722894,0.027384254928809304,0.028199893748419635,0.05105246676878644
5,3833102005,0.25529395950049555,0.21404985840720364,0.2563679816445096,0.3272921533285647,-0.11324229492136106,-0.07199819382806916,-0.04124410109329191,-0.04231812323730594
6,3833102006,0.3444727752817277,0.28790495858390075,0.36960143679250357,0.32586852589626747,-0.03796356731236672,0.018604249385460236,-0.056567816697826956,-0.08169647820860282
7,3833102007,0.2609068439146913,0.07207357089255056,0.18011696248135242,0.09013660459136673,-0.018063033698816164,0.17077023932332458,-0.18883327302214076,-0.10804339158880186
8,3833102008,0.1842825458615593,0.2792082271655859,0.14342544519151407,0.2632117109803904,0.015996516185195486,-0.07892916511883113,0.09492568130402662,0.13578278197407184
9,3833102009,0.23870879008938858,0.3067959915634252,0.2805252814497385,0.4002467763598707,-0.09345078479644553,-0.16153798627048213,0.0680872014740366,0.0262707101136867
10,3833102010,0.5006799689219398,0.5627890906218599,0.4517421933301259,0.5125173425361164,0.05027174808574353,-0.011837373614176583,0.06210912169992011,0.111046897291734
11,3833102011,0.3529117141799826,0.40557799077466067,0.3628259786553005,0.32888134749865217,0.0766966432760085,0.02403036668133046,0.05266627659467804,0.042752012119360194
12,3833102012,0.396843324474597,0.41323187298038755,0.4521283683030251,0.4028766565239115,0.010355216456476024,-0.006033332049314499,0.016388548505790523,-0.03889649532263756
13,3833102013,0.3027156093924777,0.3177773088337257,0.39461434091867215,0.23783139833206438,0.0799459105016613,0.06488421106041334,0.015061699441247967,-0.07683703208494647
14,3833102014,0.2543421684965997,0.2574247764664512,0.25351054884838764,0.2216418516079988,0.035782924858452386,0.032700316888600894,0.003082607969851492,0.003914227618063537
15,3833102015,0.31819583363855003,0.3827736094560724,0.3496930209005775,0.187990011084834,0.1947835983712384,0.13020582255371602,0.06457777581752239,0.033080588555494894
16,3833102016,0.26978350807138834,0.2820040368242468,0.2517807584153877,0.2536544726301791,0.0283495641940677,0.01612903544120925,0.01222052875285845,0.030223278408859078
17,3833102017,0.3279117664901358,0.3652006837085136,0.35478382876153713,0.42392398663200853,-0.058723302923494924,-0.09601222014187272,0.03728891721837779,0.010416854946976473
18,3833102018,0.41671828001013655,0.45344443949465707,0.45485980880103327,0.37533131909287576,0.07811312040178131,0.041386960917260796,0.036726159484520515,-0.0014153693063762018
19,3833102019,0.31736892605314476,0.4403516249740197,0.36639317785618175,0.3936890242065785,0.04666260076744122,-0.07632009815343371,0.12298269892087493,0.07395844711783794
20,3833102020,0.3503447595093218,0.3974453881822872,0.25354902245600164,0.32450409072669006,0.07294129745559713,0.02584066878263175,0.04710062867296538,0.14389636572628556
21,3833102021,0.2836586541234705,0.2892856604242952,0.2738235917765951,0.3970098299579049,-0.10772416953360969,-0.11335117583443438,0.0056270063008246884,0.015462068647700111
22,3833102022,0.3302119931349853,0.44901120956702095,0.3258306636522498,0.37889960928193384,0.07011160028508712,-0.048687616146948554,0.11879921643203567,0.12318054591477118
23,3833102023,0.34956210153720224,0.35199425322420974,0.32813525702081076,0.36729358265714657,-0.015299329432936826,-0.017731481119944326,0.0024321516870075,0.023858996203398986
24,3833102024,0.23578780638191882,0.3219313646403493,0.3723130510521284,0.41900305642217245,-0.09707169178182312,-0.18321525004025363,0.08614355825843051,-0.05038168641177909
25,3833102025,0.3072215671991006,0.48782667708802613,0.4789149372703751,0.37217905135689955,0.11564762573112658,-0.06495748415779895,0.18060510988892553,0.008911739817651032
26,3833102026,0.38096219942136783,0.471128272890373,0.3775683169450415,0.41380156503201476,0.05732670785835825,-0.03283936561064693,0.09016607346900518,0.09355995594533151
27,3833102027,0.28411940542112374,0.30826632718183716,0.2310191389692081,0.2055083263444814,0.10275800083735576,0.07861107907664233,0.024146921760713425,0.07724718821262908
28,3833102028,0.33248028791472417,0.3936276951953506,0.41778159835922585,0.41842436693725604,-0.02479667174190542,-0.08594407902253187,0.061147407280626453,-0.024153903163875223
29,3833102029,0.28366796210304046,0.3971471395294568,0.3902971484588025,0.35023009831979074,0.046917041209666055,-0.06656213621675028,0.11347917742641633,0.0068499910706543155
30,3833102030,0.2910065820477787,0.35713537827751257,0.35580165461507507,0.14828453550156684,0.20885084277594573,0.14272204654621184,0.06612879622973389,0.0013337236624375026
31,3833102031,0.3556151644543174,0.4226569859019393,0.35060690417730905,0.36836420219024263,0.05429278371169666,-0.012749037735925228,0.06704182144762189,0.07205008172463023
32,3833102032,0.31619071748835076,0.3433914006756539,0.38167452612694297,0.32243524346815966,0.02095615720749422,-0.0062445259798089015,0.02720068318730312,-0.03828312545128909
33,3833102033,0.3638912454546416,0.28528684561275325,0.34890044420144706,0.26034215811090994,0.02494468750184331,0.10354908734373164,-0.07860439984188833,-0.06361359858869381
34,3833102034,0.17386671893123717,0.2787728553496812,0.289679383144588,0.3285964022836584,-0.04982354693397717,-0.1547296833524212,0.10490613641844404,-0.010906527794906806
35,3833102035,0.3103695372858933,0.2923976394646927,0.3824386481139731,0.24863710602504702,0.0437605334396457,0.061732431260846266,-0.017971897821200566,-0.09004100864928039
36,3833102036,0.3985163789161259,0.28566428624884277,0.4179291853723858,0.299411955920439,-0.013747669671596241,0.09910442299568689,-0.11285209266728313,-0.13226489912354306
37,3833102037,0.316438352205822,0.3265868585069583,0.3170274717936124,0.40233644374305483,-0.07574958523609654,-0.08589809153723282,0.010148506301136284,0.009559386713345885
38,3833102038,0.19223680426069928,0.253880771408803,0.2660002429694869,0.07707952541612256,0.17680124599268043,0.11515727884457672,0.06164396714810372,-0.012119471560683881
39,3833102039,0.4166893869154276,0.37986755175215575,0.4385509639099855,0.3733759047390169,0.006491647013138868,0.043313482176410734,-0.036821835163271865,-0.05868341215782974
40,3833102040,0.32723031888247106,0.38758578324333065,0.31572282127944656,0.23235461344530298,0.15523116979802767,0.09487570543716808,0.06035546436085959,0.07186296196388409
41,3833102041,0.3448011342775775,0.3419962702369202,0.3394037900403206,0.32597649548035257,0.01601977475656763,0.018824638797224957,-0.002804864040657329,0.002592480196599578
42,3833102042,0.39997427224650856,0.4632057680414525,0.39551405834153747,0.38459797832149345,0.07860778971995908,0.015376293925015105,0.06323149579494397,0.06769170969991506
43,3833102043,0.34147155043774663,0.33991835865756154,0.31854130992268503,0.3865079542505339,-0.04658959559297238,-0.045036403812787285,-0.0015531917801850925,0.021377048734876503
44,3833102044,0.4407357834003537,0.4803384825913018,0.3207518045375455,0.4676344925282908,0.012703990063010984,-0.026898709127937126,0.03960269919094811,0.15958667805375631
45,3833102045,0.2504605402243441,0.3138544681395245,0.26554574972405615,0.2399267188265189,0.07392774931300561,0.010533821397825216,0.06339392791518039,0.048308718415468355
46,3833102046,0.49797204868804046,0.3204957900555278,0.5024394306992787,0.5320091020926067,-0.21151331203707885,-0.0340370534045662,-0.17747625863251265,-0.18194364064375085
47,3833102047,0.31481773432732946,0.29405958143157274,0.36524283488519677,0.4151745717194741,-0.12111499028790135,-0.10035683739214463,-0.02075815289575672,-0.07118325345362403
48,3833102048,0.46570519916810654,0.4745883987271153,0.45731321901340305,0.37955068589084934,0.09503771283626594,0.0861545132772572,0.008883199559008736,0.01727517971371223
49,3833102049,0.29687037555673923,0.32285144505128416,0.3974414262104041,0.21994868390227518,0.10290276114900898,0.07692169165446405,0.02598106949454493,-0.07458998115911997
50,3833102050,0.323513158448649,0.33121237825427535,0.29653554052471304,0.30132344911608633,0.029888929138189024,0.022189709332562646,0.007699219805626378,0.034676837729562315
51,3833102051,0.38443089711537776,0.3523677806283743,0.40591692284164516,0.3049920564853754,0.0473757241429989,0.07943884063000234,-0.03206311648700344,-0.05354914221327084
52,3833102052,0.4685406779067618,0.5181789210519412,0.5240721275578895,0.5365857063302217,-0.018406785278280546,-0.06804502842345994,0.049638243145179395,-0.0058932065059482674
53,3833102053,0.30525456507617654,0.39812084579504564,0.3297318071741752,0.35917311051363887,0.03894773528140677,-0.05391854543746233,0.0928662807188691,0.06838903862087042
54,3833102054,0.36175213148499785,0.5504905139048524,0.470531104729198,0.39564728505218183,0.15484322885267054,-0.03389515356718398,0.18873838241985452,0.07995940917565436
55,3833102055,0.3917856446478158,0.37342620404324145,0.4125284479113915,0.34290136741730615,0.030524836625935303,0.04888427723050964,-0.01835944060457434,-0.03910224386815003
56,3833102056,0.34142483379532973,0.32707941696192616,0.23280501504991397,0.43784670184394864,-0.11076728488202248,-0.09642186804861891,-0.014345416833403568,0.0942744019120122
57,3833102057,0.3062752736303705,0.3863025752445836,0.3477407183350702,0.34529729439000184,0.04100528085458177,-0.03902202075963135,0.08002730161421312,0.038561856909513414
58,3833102058,0.2397643901780607,0.2682888910354543,0.24012359627206434,0.2946267538775454,-0.02633786284209111,-0.05486236369948469,0.02852450085739358,0.028165294763389942
59,3833102059,0.4120053240660388,0.46340070471451983,0.3857759454892937,0.3623604393816123,0.10104026533290755,0.049644884684426516,0.05139538064848104,0.0776247592252261
60,3833102060,0.24751258417061234,0.29986958167740074,0.31143770520686453,0.33694613621492064,-0.0370765545375199,-0.0894335520443083,0.052356997506788405,-0.011568123529463792
