panel,cell,index,U,Y,tau,F
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,0,0.734375,0.279296875,40.0,0.35
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,1,0.7,0.28125,40.0,0.3
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,2,0.746875,0.244140625,40.0,0.375
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,3,0.725,0.279296875,40.0,0.3
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,4,0.728125,0.251953125,40.0,0.2625
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,5,0.734375,0.28515625,40.0,0.3125
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,6,0.771875,0.26953125,40.0,0.4
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,7,0.73125,0.267578125,40.0,0.375
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,8,0.7625,0.234375,40.0,0.3375
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,9,0.7375,0.279296875,40.0,0.325
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,10,0.703125,0.302734375,40.0,0.275
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,11,0.7125,0.298828125,40.0,0.3375
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,12,0.684375,0.2890625,40.0,0.375
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,13,0.746875,0.296875,40.0,0.4375
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,14,0.684375,0.2890625,40.0,0.35
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,15,0.7,0.2890625,40.0,0.2875
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,16,0.73125,0.275390625,40.0,0.35
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,17,0.753125,0.263671875,40.0,0.275
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,18,0.740625,0.2578125,40.0,0.3
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,19,0.7625,0.2578125,40.0,0.375
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,20,0.7,0.302734375,40.0,0.3
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,21,0.73125,0.26953125,40.0,0.35
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,22,0.746875,0.267578125,40.0,0.35
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,23,0.7125,0.314453125,40.0,0.4125
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,24,0.64375,0.314453125,40.0,0.3
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,25,0.684375,0.31640625,40.0,0.3125
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,26,0.69375,0.291015625,40.0,0.4125
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,27,0.65625,0.32421875,40.0,0.2875
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,28,0.734375,0.275390625,40.0,0.35
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,29,0.671875,0.328125,40.0,0.3125
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,30,0.69375,0.302734375,40.0,0.3375
FLEX-INIT,8_to_8.ACTIVE_CONTINUATION,31,0.734375,0.267578125,40.0,0.3375
