arm,checkpoint,zone,n,R_fail_60,U_total,U_intact,J_ext
BCRH,fixed,all,64,0.30548177083333333,0.5598507059179103,0.593343648538961,0.43266623837562185
BCRH,fixed,1,32,0.37052083333333335,0.5304374915241062,0.5102684208152958,0.4504791624287198
BCRH,fixed,2,32,0.24044270833333334,0.5892639203117145,0.6764188762626263,0.41485331432252387
DIRECT,final,all,64,0.24819010416666668,0.5086349012762156,0.5417295161435787,0.37841250272144117
DIRECT,final,1,32,0.3021875,0.461841458939345,0.44616330717893216,0.3820144794696725
DIRECT,final,2,32,0.19419270833333332,0.5554283436130862,0.6372957251082251,0.3748105259732098
DIRECT,initial,all,64,0.05953125,0.1547862869844294,0.0935297168109668,0.1071587684922147
DIRECT,initial,1,32,0.0690625,0.11540339908736774,0.12733585858585858,0.09223294954368387
DIRECT,initial,2,32,0.05,0.19416917488149105,0.05972357503607504,0.12208458744074553
DIRECT,midpoint,all,64,0.1971484375,0.3837477679531242,0.40845266278860026,0.29044810272656213
DIRECT,midpoint,1,32,0.19885416666666667,0.33116616521566455,0.3489281204906205,0.2650101659411656
DIRECT,midpoint,2,32,0.19544270833333333,0.4363293706905839,0.4679772050865801,0.31588603951195865
MAPR,final,all,64,0.2636588541666667,0.5116742666934352,0.5431947262806638,0.3876665604300509
MAPR,final,1,32,0.33026041666666667,0.4719122240875095,0.4409836084054834,0.4010863203770881
MAPR,final,2,32,0.19705729166666666,0.5514363092993607,0.6454058441558441,0.37424680048301373
MAPR,initial,all,64,0.05953125,0.1547862869844294,0.0935297168109668,0.1071587684922147
MAPR,initial,1,32,0.0690625,0.11540339908736774,0.12733585858585858,0.09223294954368387
MAPR,initial,2,32,0.05,0.19416917488149105,0.05972357503607504,0.12208458744074553
MAPR,midpoint,all,64,0.22412760416666666,0.41199207187935905,0.41474665742243866,0.31805983802301285
MAPR,midpoint,1,32,0.25666666666666665,0.30830298808330686,0.22320267406204905,0.28248482737498676
MAPR,midpoint,2,32,0.19158854166666667,0.5156811556754112,0.6062906407828282,0.35363484867103895
