arm,checkpoint,zone,n,R_fail_60,U_total,U_intact,J_ext
BCRH,fixed,all,64,0.30276041666666664,0.5695671011477719,0.615616939484127,0.43616375890721926
BCRH,fixed,1,32,0.39317708333333334,0.5442969489056587,0.5084748151154401,0.46873701611949603
BCRH,fixed,2,32,0.21234375,0.5948372533898849,0.7227590638528139,0.4035905016949425
DIRECT,final,all,64,0.23791666666666667,0.5421655100667012,0.5605803007756133,0.39004108836668394
DIRECT,final,1,32,0.3397395833333333,0.5224594670460744,0.4531579184704185,0.4310995251897039
DIRECT,final,2,32,0.13609375,0.5618715530873281,0.6680026830808081,0.34898265154366404
DIRECT,initial,all,64,0.042395833333333334,0.20588201039360032,0.33230406746031743,0.12413892186346683
DIRECT,initial,1,32,0.06708333333333333,0.13701959334770258,0.13815160533910534,0.10205146334051796
DIRECT,initial,2,32,0.017708333333333333,0.27474442743949806,0.5264565295815296,0.1462263803864157
DIRECT,midpoint,all,64,0.18690104166666666,0.4018939828111392,0.40001161165223664,0.2943975122389029
DIRECT,midpoint,1,32,0.31421875,0.3592724276257032,0.23024914321789322,0.3367455888128516
DIRECT,midpoint,2,32,0.059583333333333335,0.44451553799657517,0.56977408008658,0.25204943566495425
MAPR,final,all,64,0.24184895833333334,0.5436170700345264,0.599794513212482,0.39273301418392986
MAPR,final,1,32,0.3104166666666667,0.4957951754080365,0.48603738275613273,0.4031059210373516
MAPR,final,2,32,0.17328125,0.5914389646610162,0.7135516436688312,0.3823601073305081
MAPR,initial,all,64,0.042395833333333334,0.20588201039360032,0.33230406746031743,0.12413892186346683
MAPR,initial,1,32,0.06708333333333333,0.13701959334770258,0.13815160533910534,0.10205146334051796
MAPR,initial,2,32,0.017708333333333333,0.27474442743949806,0.5264565295815296,0.1462263803864157
MAPR,midpoint,all,64,0.241328125,0.5268386959453312,0.5659770979888167,0.3840834104726656
MAPR,midpoint,1,32,0.309375,0.4757088853141958,0.4441655393217893,0.3925419426570979
MAPR,midpoint,2,32,0.17328125,0.5779685065764666,0.6877886566558441,0.3756248782882333
