contrast,zone,n,R_fail_60,U_total,U_intact,J_ext,R_fail_60_descriptive_SE
MAPR_final_minus_initial,all,64,0.199453125,0.3377350596409261,0.2674904457521645,0.26859409232046305,0.020545231973222552
MAPR_final_minus_initial,1,32,0.24333333333333335,0.35877558206033394,0.3478857774170274,0.30105445769683364,0.035581447785655064
MAPR_final_minus_initial,2,32,0.15557291666666667,0.3166945372215182,0.1870951140873016,0.2361337269440924,0.01803872051471555
DIRECT_final_minus_initial,all,64,0.19552083333333334,0.3362834996731009,0.2282762333152958,0.26590216650321713,0.021628695710085907
DIRECT_final_minus_initial,1,32,0.27265625,0.38543987369837185,0.31500631313131316,0.32904806184918595,0.03127309714311512
DIRECT_final_minus_initial,2,32,0.11838541666666667,0.28712712564783,0.14154615349927852,0.2027562711572483,0.023227424337352736
MAPR_minus_DIRECT,all,64,0.0039322916666666725,0.0014515599678251471,0.039214212436868685,0.0026919258172459046,0.019853560530129537
MAPR_minus_DIRECT,1,32,-0.029322916666666657,-0.026664291638037893,0.032879464285714276,-0.027993604152352275,0.03116492535952317
MAPR_minus_DIRECT,2,32,0.037187500000000005,0.029567411573688186,0.04554896058802309,0.03337745578684408,0.023653411106367848
MAPR_minus_BCRH,all,64,-0.06091145833333333,-0.025950031113245474,-0.015822426271645033,-0.04343074472328941,0.013631995724756785
MAPR_minus_BCRH,1,32,-0.08276041666666666,-0.04850177349762222,-0.02243743235930737,-0.06563109508214443,0.02175496500397435
MAPR_minus_BCRH,2,32,-0.0390625,-0.0033982887288687303,-0.0092074201839827,-0.02123039436443437,0.015850467790859298
DIRECT_minus_BCRH,all,64,-0.06484375,-0.027401591081070622,-0.05503663870851372,-0.04612267054053531,0.010316831017610084
DIRECT_minus_BCRH,1,32,-0.0534375,-0.021837481859584326,-0.055316896645021645,-0.03763749092979216,0.017553830657897125
DIRECT_minus_BCRH,2,32,-0.07625,-0.03296570030255692,-0.054756380772005786,-0.054607850151278454,0.01077423915599988
